[['ENSG00000117632' '0.00297070074144']
 ['ENSG00000197956' '0.000567968483565']
 ['ENSG00000251562' '0.000913912586483']
 ['ENSG00000111640' '-0.00383637089363']
 ['ENSG00000167552' '4.04229530421e-05']
 ['ENSG00000011465' '0.00482385721878']
 ['ENSG00000140416' '-0.000116388526734']
 ['ENSG00000125148' '0.0345500790324']
 ['ENSG00000108821' '-0.00265702377532']
 ['ENSG00000184009' '-0.000458223683383']
 ['ENSG00000087086' '0.00244132871792']
 ['ENSG00000163017' '9.93199875025e-06']
 ['ENSG00000115963' '0.00215292578113']
 ['ENSG00000100097' '0.00253974651226']
 ['ENSG00000065534' '0.00164145438343']
 ['ENSG00000120708' '0.000856717956436']
 ['ENSG00000113140' '-0.00465764368048']
 ['ENSG00000156508' '0.00275579843896']
 ['ENSG00000118523' '0.000173188336744']
 ['ENSG00000128595' '-0.00279226852205']
 ['ENSG00000210082' '0.000897320036948']
 ['ENSG00000198886' '-0.00398735223956']
 ['ENSG00000205542' '0.00106511413018']
 ['ENSG00000102265' '-0.00357404240447']
 ['ERCC-00002' '-0.000196535129604']
 ['ERCC-00004' '-0.00104120385539']
 ['ERCC-00046' '-0.000653771364333']
 ['ERCC-00074' '-0.000134181824595']]
